TRON to JAMMA Adapter,,,,,,,,,,,,
Index,Component,Manufacturer Part Number,Manufacturer Name,Description,Requested Quantity,Pack Quantity 1,Pack Type 1,Digi-Key Part Number,Unit Price,Extended Price,Link,Notes
,,,,,,,,,,,,
1,U1,SN74LS86AN,Texas Instruments,IC GATE XOR 4CH 2-INP 14DIP,1,1,Tube,296-1669-5-ND,0.75,$0.75,https://www.digikey.com/en/products/detail/texas-instruments/SN74LS86AN/277315,
2,U2A / U2B,SN74LS191N,Texas Instruments,IC BINARY COUNTER 4-BIT 16DIP,2,,Tube,296-14886-5-ND,1.58,$3.16,https://www.digikey.com/en/products/detail/texas-instruments/SN74LS191N/563041,
3,U3 / U5,NE555P,Texas Instruments,IC OSC SINGLE TIMER 100KHZ 8-DIP,2,2,Tube,296-NE555P-ND,0.51,$1.02,https://www.digikey.com/en/products/detail/texas-instruments/NE555P/277057,
4,U4,LM386N-1/NOPB,Texas Instruments,IC AMP CLASS AB MONO 325MW 8DIP,1,1,Tube,296-44414-5-ND,1.05,$1.05,https://www.digikey.com/en/products/detail/texas-instruments/LM386N-1-NOPB/6284,
,,,,,,,,,,,,
5,SW1,DS04-254-2L-01BK,Same Sky (Formerly CUI Devices),SWITCH SLIDE DIP SPST 0.025A 24V,1,1,Tube,2223-DS04-254-2L-01BK-ND,0.65,$0.65,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/DS04-254-2L-01BK/11310830,
,,,,,,,,,,,,
7,JP1 / JP2,901310780,Molex,CONN HEADER VERT 40POS 2.54MM,1,1,Bulk,WM8152-ND,4.03,$4.03,https://www.digikey.com/en/products/detail/molex/0901310780/760866,
8,JP1S / JP2S,60900213421,Wurth Electronik,JUMPER W/TEST PNT 1X2PINS 2.54MM,2,,Bag,732-2678-ND,0.28,$0.56,https://www.digikey.com/en/products/detail/w-rth-elektronik/60900213421/2508447,
9,J2 - J5,22284361,Molex,CONN HEADER VERT 36POS 2.54MM,1,1,Bag,WM50017-36-ND,1.23,$1.23,https://www.digikey.com/en/products/detail/molex/0022284361/313891,
10,J1,26604120,Molex,CONN HEADER VERT 12POS 3.96MM,1,1,Bulk,WM4630-ND,0.93,$0.93,https://www.digikey.com/en/products/detail/molex/0026604120/193986,
